Id,Name,Description,IsActive,CreatedAt,CreatedBy,UpdatedAt,UpdatedBy
9d76fa9e-fd97-4dab-bf4f-e2738513faa0,10 Vitamin & 6 Mineral [Pregnancy and Breast Feeding Formula],,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
ef078518-ea15-4ccd-be85-861a43be13b1,15 vitamins and minerals,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
febd4921-4469-4b15-a106-8fdb2f12b032,17 β Estradiol,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
35f06375-8aaf-42c7-84a9-4b1ce2190238,6 essential Nutrients with Omega-3,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
e0ec15f2-6b02-4b9d-a606-78622dbf1ec9,Abametapir,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
4aa599f0-458b-40d8-81b1-5d1c3230c2c0,Abemaciclib,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
1d35be90-571e-414e-9737-4f34a9c11d26,Abiraterone Acetate,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
16636bf9-b64b-4196-842d-52fe2864b36c,Acalabrutinib,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
c23e0593-3b3e-42e2-b7e0-c891fd2255c7,Acarbose,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
9f0800a4-afaf-4145-9878-c8803f7124c1,Aceclofenac,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
56add8ff-3dcd-403b-afaa-5800d2b8499c,Acemetacin,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
e44ce5ce-3c1d-4a64-b5f8-6df757c06ef2,Acetate Formulation [Hemodialysis Solution],,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
e9255afe-b135-496f-8e08-377e9dc5c3e4,Acetazolamide,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
7048cd07-0801-4bb2-afc7-91083ee4e096,Acetylcysteine,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
7bffe898-02d9-47d9-b74b-876661feb899,Acidic component [HCO3 Hemodialysis Solution],,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
fc78f128-9345-464e-b66b-85fef65e509e,Acitretin,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
fc767de9-e8e1-4f67-98a9-673807e96671,Aclidinium Bromide + Formoterol Fumarate,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
037a7d22-8385-41d5-a5ce-fac099e16944,Activated Charcoal,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
f2d0d36a-7de0-4970-a849-d73015f1c8c7,Acyclovir (Injection),,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
95c0b6cd-119d-4f1d-80e7-fdf8a4e1ed08,Acyclovir (Ophthalmic),,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
6ae19bbe-1a59-46e5-9e27-d74f688cebc1,Acyclovir (Oral),,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
98ec78c1-23f9-444f-b8d2-cdd4cf66948a,Acyclovir (Topical),,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
00050b18-6e8e-4864-8888-0a830bc512a5,Acyclovir + Hydrocortisone,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
ad797389-5a87-4d88-9fa6-162f506847ea,Adalimumab,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
850b7f99-5d52-45d8-84d2-113baf3ed146,Adapalene,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
e09f0021-8af1-4805-925b-325904d4c6e0,Adapalene + Benzoyl peroxide,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
ffcb1b49-0caa-4744-81f6-b8ba637a31dd,Adefovir Dipivoxil,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
2ef89770-dd29-4708-979b-9c2b0be4b0c2,Adenosine,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
5d7fcacd-8f03-47b2-891c-a5313c3d99d4,Adenosine + Cytochrome-C + Sodium Succinate + Nicotinamide,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
c8be1f8a-f717-43bc-a481-8c067198a516,Adhatoda vasica + Centella asiatica,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
a39386a2-90da-48eb-8954-56cf13e8f6bc,Adrenaline,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
4053f8c4-5027-4091-ac44-9bb7d6a64e2a,Adsorbed tetanus vaccine,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
0985be4d-a46f-4c51-a59a-337494b781b9,Afatinib Dimaleate,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
40ae152d-b36e-4923-9e3f-aab5a847de14,Aflibercept,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
f2806ff8-34cf-4cbc-8c2e-64c743356fd4,Agomelatine,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
be1ffae4-2ff6-4063-ade2-20e7785ab531,Albendazole,,t,2025-12-24 09:26:30.678175+06,System,2025-12-24 09:26:30.678175+06,System
